lei,bic,legalName,countryCode
029200067A7K6CH0H586,CSCYNGLAXXX,"CENTRAL SECURITIES CLEARING SYSTEM PLC",NG
029200268F8M5YI5I629,ZEIBNGLAXXX,"ZENITH BANK PLC",NG
029200298A5K5WI0F567,MAMBNGL1XXX,"FIDELITY BANK PLC",NG
029200328C3N9YI2D660,ABNGNGLAXXX,"ACCESS BANK PLC",NG
029200494H3E7D4H3E24,WEMANGLAXXX,"WEMA BANK PLC",NG
029200648E6L8VI4G586,PRDTNGLAXXX,"SKYE BANK PLC",NG
029200807D9MH3J67D65,NAMENGLAXXX,"STERLING BANK PLC",NG
029200983C2P2VD2C770,CHDENGL1XXX,"CHAPEL HILL DENHAM SECURITIES LIMITED",NG
0292001167H3Q0GH7D41,CSSKNGL1XXX,"CSL STOCKBROKERS LIMITED",NG
0292001868F6N5VI5G15,GTBINGLAXXX,"GUARANTY TRUST BANK PLC",NG
0292002067E3RH4D8768,UNAFNGLAXXX,"UNITED BANK FOR AFRICA PLC",NG
0292002317A4R1YH0E14,SUTGNGLAXXX,"SUNTRUST BANK NIGERIA LIMITED",NG
0292002658J9P5CI9J88,FSDHNGLAXXX,"FSDH MERCHANT BANK LIMITED",NG
029200261G6Q56G8FG36,UBNINGLAXXX,"UNION BANK OF NIGERIA PLC",NG
029200334G7R8B36H825,ZEPCNGLAXXX,"ZENITH PENSIONS CUSTODIAN LIMITED",NG
0292002717G4T0CH6E65,KDHLNGLAXXX,"FBNQUEST MERCHANT BANK LIMITED",NG
029200364B8N6X9F1I18,FIRNNGLAXXX,"RAND MERCHANT BANK NIGERIA LIMITED",NG
0292003420A1T0UA0B05,IEFCNGL1XXX,"INDORAMA ELEME FERTILIZER AND CHEMICALS LIMITED",NG
0292003440E3M3A4D637,ICITNGLAXXX,"UNITY BANK PLC",NG
0292003737D4P1AH3E44,EFHNNGL1XXX,"EFG HERMES NIGERIA LIMITED",NG
029200378B3O1B9I1D22,TTRUNGLAXXX,"TITAN TRUST BANK LIMITED",NG
0292003898E7N8V6I421,NVMBNGLAXXX,"NOVA MERCHANT BANK LIMITED",NG
097900BEF50000000569,PRVASKBAXXX,"Prvá stavebná sporiteľňa, a. s.",SK
097900BEFH0000000217,CSDSSKBAXXX,"Centrálny depozitár cenných papierov SR, a.s.",SK
097900BEGK0000000311,DLOCSKB1XXX,"DLHOPIS, o.c.p., a.s.",SK
097900BELS0000005586,WUSTSKBAXXX,"Wüstenrot stavebná sporiteľňa, a.s.",SK
097900BEMQ0000006410,SLSSSKB1XXX,"Asset Management Slovenskej sporiteľne, správ. spol., a.s.",SK
097900BEMW0000006310,KBSPSKBXXXX,"ČSOB stavebná sporiteľňa, a.s.",SK
097900BFEJ0000024657,SLZBSKBAXXX,"Slovenská záručná a rozvojová banka, a. s.",SK
097900BFH50000030808,RMMOSKB1XXX,"JELLYFISH o.c.p., a.s.",SK
097900BFME0000038276,EUACSKB1XXX,"ACRA Europe, a.s.",SK
097900BGKM0000053160,NCDCSKBAXXX,"NARODNY CENTR. DEPOZITAR CENNYCH PAPIEROV, A S",SK
097900BHBR0000064855,PARXLV22XXX,"JSC ""Reverta""",LV
097900BHFM0000074794,MFSRSKB1XXX,"Ministerstvo financií Slovenskej republiky",SK
097900BHFR0000075034,JTBPSKBAXXX,"J ",CZ
097900BHH60000080393,SAIPSKB1XXX,"Arca Brokerage House o.c.p. a.s.",SK
097900BHHK0000079157,IFCCSKB1XXX,"Infinity ELITE, o.c.p., a.s.",SK
097900BHI50000081698,CMRCSKB1XXX,"CAPITAL MARKETS, o.c.p., a.s.",SK
097900BHIY0000081525,PRFOSKB1XXX,"PROXENTA Finance, o.c.p., a. s.",SK
097900BHJN0000082014,SLCCSKB1XXX,"SLÁVIA CAPITAL, a.s., obchodník s cennými papiermi",SK
097900BHK00000087656,APRDSKB1XXX,"Agentúra pre riadenie dlhu a likvidity",SK
097900BHKR0000084775,SFGOSKB1XXX,"Cornhill Management, o.c.p., a.s.",SK
097900BHLC0000087788,WEMPSKB1XXX,"Wealth Effect Management o.c.p., a.s.",SK
097900BHLO0000087297,EUICSKB1XXX,"European Investment Centre, o.c.p., a. s.",SK
097900BHMG0000096078,QSOLSKB1XXX,"QuantOn Solutions, o.c.p., a.s.",SK
097900BHMP0000101457,SEFOSK21XXX,"SBF a.s.",SK
097900BICQ0000134059,PRTVSKB1XXX,"PRIVATE CONSULTING INVESTMENTS, o.c.p., a.s.",SK
097900BIIX0000168239,XBRASKB1XXX,"Burza cenných papierov v Bratislave, a.s.",SK
097900BJFP0000196858,PAVOSKB2XXX,"PARTNERS INVESTMENTS, o.c.p., a.s.",SK
52990096Q5LMCH1WU462,CEKOSKBXXXX,"Československá obchodná banka a.s.",SK
549300JB1P61FUTPEZ75,SUBASKBXXXX,"Všeobecná úverová banka, a.s.",SK
549300S2T3FWVVXWJI89,GIBASKBXXXX,"Slovenská sporiteľňa, a.s.",SK
213800D57EATERQQHI45,KRCOGB21XXX,"KREIS CONSULTING LIMITED",GB
2138006FMU2AQDQRJN35,PATRROB1XXX,"PATRIA CREDIT INSTITUTIE FINANCIARA NEBANCARA S.A.",RO
21380021KWWWO1WG8W20,INRTGB21XXX,"INDEPENDENT DERIVATIVE TRADERS LIMITED",GB
213800LH1D8DCTCVJ222,CJPCGB22XXX,"COATS PLC",GB
213800GKG6WLQZ894321,BLLPGB21XXX,"EBROKERS (UK) LLP",GB
213800EUCUZ9L2MGRC05,WSLYGB21XXX,"WESLEYAN BANK LIMITED",GB
213800XS271U2SWMXX90,LSPPGB21XXX,"LIBERTY SIPP LIMITED",GB
213800ENC4GWMKBPHQ58,DKSHSGSGXXX,"DKSH MANAGEMENT PTE. LTD.",SG
213800JCFD358CCSSK44,CRBBPTP1XXX,"BANCO CREDIBOM S.A.",PT
549300V328HRBDC3YB10,QTMBAU41XXX,"MEMBERS BANKING GROUP LIMITED",AU
213800II6KDT427A3G75,GVKNKNSKXXX,"GOVERNMENT OF ST KITTS-NEVIS",KN
213800PPIXH753HQGL60,WOCSHKH1XXX,"WOCOM SECURITIES LIMITED",HK
2138006ZQUH7LQLSO654,ARJEGB21XXX,"ARJENT LIMITED",GB
213800YADX4LJTQR5L62,VIWWGB21XXX,"C-VIEW LIMITED",GB
2138005CG1LXB26DKE60,SOPLGB21XXX,"SODITIC ASSET MANAGEMENT LLP",GB
213800MERXJL2DHKZE39,CPEFGB21XXX,"INFRARED (INFRASTRUCTURE) CAPITAL PARTNERS LIMITED",GB
213800KCGQ3VYFG3Q246,CATNGB21XXX,"ARLE CAPITAL PARTNERS LIMITED",GB
213800C863GH68M3GV88,CLPRGB21XXX,"CAPITA LIFE ",GB
213800XFTBIIQOGMMS60,AMPPGB21XXX,"AMIYA CAPITAL LLP",GB
213800V5P3CRADXQTP56,EIIBGB21XXX,"RASMALA PLC",GB
2138007EWFVA8NLCOG56,TAAPGB21XXX,"TALARIUM CAPITAL LLP",GB
213800T43C5JI9BX6R78,BSNLGB21XXX,"BRENNUS ASSET MANAGEMENT LLP",GB
213800GMA1ELH6EXVA75,FOMMGB21XXX,"FORESTER MACLEAN LIMITED",GB
213800IWHUDPMTD6SW62,TPHIGB21XXX,"TUDOR, PICKERING, HOLT ",GB
213800AINT5U4D66UA65,ARAYGB22XXX,"AL RAYAN BANK PLC",GB
213800XCL5HICBBA5180,NBITGB21XXX,"NBG INTERNATIONAL LIMITED",GB
213800PDXP2YDEP5OQ46,ELINGB21XXX,"ELDERSTREET INVESTMENTS LIMITED",GB
213800962URDJ8MY7540,ALGNGB21XXX,"ALGOENGINEERING EUROPE LIMITED",GB
213800GQSTKVJ89OCZ11,RALOGB21XXX,"SANLAM INTERNATIONAL INVESTMENTS LTD",GB
213800F86YRUP5RCYQ95,SWFSGB2LXXX,"SMALL WORLD FINANCIAL SERVICES GROUP LIMITED",GB
213800B4RV7E6945FK16,FEMCGB21XXX,"FELCE MANAGEMENT CO LIMITED",GB
213800OKSDBDIS38YF11,LOCTGB21XXX,"STRAND CAPITAL LIMITED",GB
2138003NUK6SXCDIAT89,HELCGB21XXX,"MARECHALE CAPITAL PLC",GB
213800VL67AADUK3V516,IKONGB21XXX,"MEX (EUROPE) LIMITED",GB
213800JU4R8CIUQVUH22,FIGBGB21XXX,"FINANCIAL AND GENERAL LIMITED",GB
2138001FDSSUIS78W319,NPLUGB21XXX,"NPLUS1 SINGER ADVISORY LLP",GB
2138001B7XYS7G51J886,INCPGB21XXX,"INDEPENDENT CAPITAL CORPORATION LIMITED",GB
213800TXIHXICIOAJC91,EUEEGRA1XXX,"EUROCORP FINANCE Α.Ε.Π.Ε.Υ.",GR
213800RPWI2W331TBF44,ORCIGB21XXX,"ORCA INVESTMENTS LIMITED",GB
2138003EF9TRLJP2SS49,PORPAU31XXX,"ANTARES CAPITAL PARTNERS LTD",AU
213800LXP1J51ILX9Y54,BPIEIDJ1XXX,"BNP PARIBAS INVESTMENT PARTNERS, PT",ID
213800EFL67PTPCLH244,SFONSES1XXX,"SOLIDAR FONDER AB",SE
21380023XILSCPFDSU24,WOCUGB21XXX,"WORLDWIDE CURRENCIES LIMITED",GB
213800AW2EANOAI37934,FRSYGB21XXX,"FRANK SMYTHSON LIMITED",GB
2138005BHIUTWGOCHB31,ADRMCY21XXX,"ADIRAM LIMITED",CY
213800GMMG27S6C61412,SOFVSE21XXX,"ETERUM AB",SE
213800EVYSBI2KAA8R59,ITREBZB1XXX,"FX PULSE LTD",BZ
213800RLZ3L54Y59RL77,MOAAGB21XXX,"MONUMENT ASSET MANAGEMENT LIMITED",GB
213800FOIDDMMBHQPN22,OIBFGB21XXX,"OI BRASIL FINANCE LIMITED",GB
213800UXUUI64UHQK837,PAAOGB21XXX,"PAN ASSOCIATES",GB
213800F1GA4FGFBINP91,KTECNZ21XXX,"KTEC NZ LIMITED",NZ
213800B5JIJ6CLE1UB91,FORBNZ23XXX,"FORSYTH BARR LIMITED",NZ
213800EMS2KUT8JTKY77,CNNRGB21XXX,"CENTRAL FX LIMITED",GB
213800KL8CXFWTOI7506,HOGGGB22XXX,"HOGG ROBINSON PLC",GB
213800R3TAHI7WH1BZ76,CSVFGB21XXX,"CHARTERHOUSE GENERAL PARTNERS (VII) LIMITED",GB
2138001M3QU1TG2HZG36,SCVAGB21XXX,"PERMIRA ADVISERS LLP",GB
213800Q6C5QVKBJLQM93,FIGCGB21XXX,"FINANCIAL ",GB
2138007BQ69NDVLRWH55,TRAVAU21XXX,"TRAVELEX LIMITED.",AU
213800I1YVSBZ1Y7U510,BAYSAU51XXX,"BAKER YOUNG STOCKBROKERS LIMITED",AU
213800398WCKXP4LS328,NAOSAU21XXX,"NAOS ASSET MANAGEMENT LIMITED",AU
2138009HQG7PPER2C920,ASHTGB2LXXX,"ASHURST LLP",GB
2138003OYFB1WCAXKP17,CRISGB21XXX,"CRANE INVESTMENT ANALYSIS LIMITED",GB
213800QWFQTXSTDQFO78,PRDMGB21XXX,"ABERDEEN EMERGING CAPITAL LIMITED",GB
213800MSPIUZVV9RWM87,CCRPGB21XXX,"CITY CREDIT CAPITAL (UK) LIMITED",GB
2138003L16TYQQA1YN24,MTCSJESHXXX,"JTC (JERSEY) LIMITED",JE
213800ZE6DHELLJ2GO84,CECDGB21XXX,"CERBERUS EUROPEAN CAPITAL ADVISORS, LLP",GB
213800TG8A778O4IPF12,SHADAU71XXX,"MANAGED PORTFOLIO SERVICES LIMITED",AU
213800WBOKEV18VYWR51,ACTWJESHXXX,"ACCURO TRUST (JERSEY) LTD AS TRUSTEES OF THE KCANPAT TRUST",JE
2138001XLBKP9T2PJM17,EFGBJESHXXX,"EFG PRIVATE BANK (CHANNEL ISLANDS) LIMITED, JERSEY BRANCH",JE
213800DKZ4WHI3JFWW71,ORSNGB21XXX,"STIFEL EUROPE HOLDINGS LIMITED",GB
2138008B5JPVTW2TCO70,FIDRLBBXXXX,"FIDUS S.A.L",LB
2138003Z5ZVN16GFYV70,BFIAPTPLXXX,"BANCO FINANTIA, S.A.",PT
21380064JXN6YW7QAS86,TRSUGB21XXX,"FINANTIA UK LIMITED",GB
213800KVUP3NVXN7U960,CMTLGB21XXX,"CAPITAL MARKETS TRADING UK LLP",GB
549300SDN7P7N854ID20,CAFXBEB1XXX,"SPM FUNDS",BE
2138002FGKUFD9BPZ711,MPCBMUMUXXX,"MAUBANK LTD",MU
213800OADHSRMEO4U149,BATSAUA1XXX,"BRITISH AMERICAN TOBACCO AUSTRALIA LIMITED",AU
213800LCDHVKRT71ZK74,HOBPGB21XXX,"BEAUFORT SECURITIES LIMITED",GB
2138005YUU5EFETQ1257,AUKULT21XXX,"AUKŠTAITIJOS KREDITO UNIJA",LT
2138008VIMXS2JH9RM85,MAKGGB21XXX,"MAKO GLOBAL DERIVATIVES PARTNERSHIP LLP",GB
2138003YIH1M6IYJIU98,DRMAGB21XXX,"DRS MARKETS LTD",GB
213800B6NFUNHBD4J569,ROINROBUXXX,"IDEA BANK S.A..",RO
213800RIK7HCLSDZWI71,NOCKGB21XXX,"NOVUS CAPITAL MARKETS LIMITED",GB
213800FRD7ANMGZLI724,BUTDDK21XXX,"O.W. BUNKER ",DK
213800286N7JVNP42N21,MIRAESMMXXX,"MIRABAUD FINANZAS SOCIEDAD DE VALORES, S.A.",ES
213800QJL36QHNBPF654,BEBNNOB1XXX,"BERGEN BUNKERS AS",NO
213800C78WI8VFJCYR09,BBRODK21XXX,"SPAREKASSEN BREDEBRO",DK
213800B4XZJ3ZDM7CL47,AFREGB21XXX,"AFREN PLC",GB
213800LK2TGWU7FK8440,HASEBSN1XXX,"HANG SENG BANK (BAHAMAS) LIMITED",GB
54930042QG0BBJ7I4N45,ARPEGB21XXX,"ARCADIA PETROLEUM LIMITED",GB
213800UYZYOVD8711L41,HSAMSGS1XXX,"LLOYDS MERCHANT BANK ASIA LIMITED",SG
213800523555X8AGR173,STBMMNUBXXX,"STATE BANK.",MN
213800IVDU9X45N2CZ57,WIALGB21XXX,"WINCHMORE CAPITAL LLP",GB
2138006NO5KSOIHM7H18,FIVRPTP1XXX,"MONTEPIO VALOR - SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO, S.A.",PT
213800GT9O5USAMC8Z86,SOFOGB21XXX,"SODITIC LIMITED",GB
21380038URSV8JOD6I20,MDSEGB22XXX,"MDRN-FX SERVICES LIMITED",GB
2138005ZJSKL41494805,KLCOGB21XXX,"KLESCH ",GB
213800O3XDBNRZMFE998,RECFGB21XXX,"CBRE INDIRECT INVESTMENT SERVICES LIMITED",GB
213800BYUZ96WQ8YUV83,OPLCGB21XXX,"OLD PARK LANE CAPITAL PLC",GB
213800LV7IETNIKD4526,WEEUGB21XXX,"WEDBUSH EUROPE LTD",GB
213800Z1IBI2PWUC8G83,FUWEGB21XXX,"FUSION WEALTH LIMITED",GB
213800MQJJYKAB7IV778,AMLNGB2LXXX,"MS AMLIN CORPORATE SERVICES LIMITED",GB
213800EQUW8VNXC86H19,JLRXGB22XXX,"JAGUAR LAND ROVER HOLDINGS LIMITED",GB
213800W73IW8XWLR5O97,FIRBILITXXX,"UBANK LTD",IL
21380061NK7EDRA9BS34,BAPAPTPLXXX,"BANCO ATLÂNTICO EUROPA, S.A.",PT
213800M3I5GUTKCDBU47,CMLDGB22XXX,"CONTINENTAL CAPITAL MARKETS LIMITED",GB
213800ELT33ICEHC3654,SCNTGB21XXX,"SAMSUNG C",GB
2138003IGGAUDLPNC244,IZOLMTMTXXX,"IZOLA BANK P.L.C.",MT
213800YOVZX6ATBZBC12,PAHKHKH1XXX,"PARIBAS ASIA EQUITY LIMITED",HK
213800CDTWE98WGDPY11,ALAIGB21XXX,"MERCER ALTERNATIVES LIMITED",GB
213800EM4GB3UD5XEE29,PBPEIDJ1XXX,"PT BNP PARIBAS SEKURITAS INDONESIA",ID
213800JXZKQR28KD6872,BPESSGS1XXX,"BNP PARIBAS SECURITIES (SINGAPORE) PTE. LTD.",SG
2138003E7UBOEXP61F19,BPSTTWT1XXX,"BNP PARIBAS SECURITIES (TAIWAN) CO., LTD",TW
213800O95EHO85XS2U17,BNPAKRS2XXX,"BNP PARIBAS SECURITIES KOREA CO., LIMITED",KR
213800DJAI4ZR21F9J77,BNPAHKHPXXX,"BNP PARIBAS SECURITIES (ASIA) LIMITED",HK
213800J9RK87ZMN38613,ALLPGB21XXX,"ALPCAPITAL LIMITED",GB
